Date,Classification
2024-02-25,Fear
2024-02-26,Greed
2024-02-27,Fear
2024-02-28,Fear
2024-02-29,Greed
2024-03-01,Greed
2024-03-02,Greed
2024-03-03,Fear
2024-03-04,Fear
2024-03-05,Greed
2024-03-06,Fear
2024-03-07,Fear
2024-03-08,Fear
2024-03-09,Greed
2024-03-10,Fear
2024-03-11,Fear
2024-03-12,Fear
2024-03-13,Fear
2024-03-14,Greed
2024-03-15,Fear
2024-03-16,Fear
2024-03-17,Fear
2024-03-18,Fear
2024-03-19,Fear
2024-03-20,Fear
2024-03-21,Fear
2024-03-22,Greed
2024-03-23,Greed
2024-03-24,Greed
2024-03-25,Greed
2024-03-26,Fear
2024-03-27,Fear
2024-03-28,Greed
2024-03-29,Greed
2024-03-30,Greed
2024-03-31,Greed
2024-04-01,Fear
2024-04-02,Greed
2024-04-03,Fear
2024-04-04,Fear
2024-04-05,Fear
2024-04-06,Fear
2024-04-07,Fear
2024-04-08,Fear
2024-04-09,Fear
2024-04-10,Fear
2024-04-11,Fear
2024-04-12,Fear
2024-04-13,Fear
2024-04-14,Fear
2024-04-15,Fear
2024-04-16,Fear
2024-04-17,Fear
2024-04-18,Greed
2024-04-19,Greed
2024-04-20,Fear
2024-04-21,Fear
2024-04-22,Fear
2024-04-23,Fear
2024-04-24,Fear
2024-04-25,Fear
2024-04-26,Fear
2024-04-27,Fear
2024-04-28,Fear
2024-04-29,Fear
2024-04-30,Fear
2024-05-01,Fear
2024-05-02,Fear
2024-05-03,Greed
2024-05-04,Greed
2024-05-05,Fear
2024-05-06,Fear
2024-05-07,Fear
2024-05-08,Fear
2024-05-09,Fear
2024-05-10,Fear
2024-05-11,Fear
2024-05-12,Fear
2024-05-13,Greed
2024-05-14,Fear
2024-05-15,Fear
2024-05-16,Fear
2024-05-17,Fear
2024-05-18,Fear
2024-05-19,Greed
2024-05-20,Fear
2024-05-21,Fear
2024-05-22,Fear
2024-05-23,Greed
2024-05-24,Fear
2024-05-25,Fear
2024-05-26,Fear
2024-05-27,Greed
2024-05-28,Fear
2024-05-29,Fear
2024-05-30,Fear
2024-05-31,Fear
2024-06-01,Fear
2024-06-02,Fear
2024-06-03,Greed
2024-06-04,Greed
2024-06-05,Greed
2024-06-06,Fear
2024-06-07,Greed
2024-06-08,Fear
2024-06-09,Fear
2024-06-10,Greed
2024-06-11,Fear
2024-06-12,Fear
2024-06-13,Greed
2024-06-14,Fear
2024-06-15,Fear
2024-06-16,Fear
2024-06-17,Fear
2024-06-18,Fear
2024-06-19,Fear
2024-06-20,Fear
2024-06-21,Fear
2024-06-22,Fear
2024-06-23,Fear
2024-06-24,Greed
2024-06-25,Greed
2024-06-26,Greed
2024-06-27,Greed
2024-06-28,Fear
2024-06-29,Fear
2024-06-30,Greed
2024-07-01,Fear
2024-07-02,Fear
2024-07-03,Fear
2024-07-04,Fear
2024-07-05,Fear
2024-07-06,Fear
2024-07-07,Fear
2024-07-08,Fear
2024-07-09,Fear
2024-07-10,Fear
2024-07-11,Fear
2024-07-12,Fear
2024-07-13,Fear
2024-07-14,Fear
2024-07-15,Fear
2024-07-16,Fear
2024-07-17,Fear
2024-07-18,Fear
2024-07-19,Greed
2024-07-20,Fear
2024-07-21,Fear
2024-07-22,Fear
2024-07-23,Fear
2024-07-24,Fear
2024-07-25,Fear
2024-07-26,Fear
2024-07-27,Fear
2024-07-28,Fear
2024-07-29,Fear
2024-07-30,Fear
2024-07-31,Greed
2024-08-01,Fear
2024-08-02,Fear
2024-08-03,Fear
2024-08-04,Fear
2024-08-05,Greed
2024-08-06,Greed
2024-08-07,Fear
2024-08-08,Fear
2024-08-09,Greed
2024-08-10,Fear
2024-08-11,Fear
2024-08-12,Fear
2024-08-13,Fear
2024-08-14,Greed
2024-08-15,Fear
2024-08-16,Fear
2024-08-17,Fear
2024-08-18,Fear
2024-08-19,Fear
2024-08-20,Fear
2024-08-21,Greed
2024-08-22,Greed
2024-08-23,Greed
2024-08-24,Greed
2024-08-25,Greed
2024-08-26,Greed
2024-08-27,Fear
2024-08-28,Fear
2024-08-29,Fear
2024-08-30,Fear
2024-08-31,Fear
2024-09-01,Greed
2024-09-02,Fear
2024-09-03,Fear
2024-09-04,Greed
2024-09-05,Fear
2024-09-06,Fear
2024-09-07,Fear
2024-09-08,Fear
2024-09-09,Fear
2024-09-10,Greed
2024-09-11,Fear
2024-09-12,Fear
2024-09-13,Fear
2024-09-14,Greed
2024-09-15,Greed
2024-09-16,Greed
2024-09-17,Fear
2024-09-18,Fear
2024-09-19,Fear
2024-09-20,Fear
2024-09-21,Fear
2024-09-22,Fear
2024-09-23,Fear
2024-09-24,Greed
2024-09-25,Fear
2024-09-26,Fear
2024-09-27,Fear
2024-09-28,Greed
2024-09-29,Fear
2024-09-30,Fear
2024-10-01,Greed
2024-10-02,Fear
2024-10-03,Fear
2024-10-04,Fear
2024-10-05,Fear
2024-10-06,Greed
2024-10-07,Fear
2024-10-08,Fear
2024-10-09,Fear
2024-10-10,Fear
2024-10-11,Fear
2024-10-12,Greed
2024-10-13,Fear
2024-10-14,Fear
2024-10-15,Fear
2024-10-16,Greed
2024-10-17,Fear
2024-10-18,Fear
2024-10-19,Fear
2024-10-20,Greed
2024-10-21,Fear
2024-10-22,Fear
2024-10-23,Greed
2024-10-24,Greed
2024-10-25,Fear
2024-10-26,Fear
2024-10-27,Fear
2024-10-28,Fear
2024-10-29,Greed
2024-10-30,Greed
2024-10-31,Greed
2024-11-01,Fear
2024-11-02,Greed
2024-11-03,Fear
2024-11-04,Fear
2024-11-05,Fear
2024-11-06,Fear
2024-11-07,Greed
2024-11-08,Fear
2024-11-09,Fear
2024-11-10,Fear
2024-11-11,Fear
2024-11-12,Fear
2024-11-13,Fear
2024-11-14,Greed
2024-11-15,Fear
2024-11-16,Fear
2024-11-17,Fear
2024-11-18,Greed
2024-11-19,Greed
2024-11-20,Greed
2024-11-21,Greed
2024-11-22,Greed
2024-11-23,Greed
2024-11-24,Greed
2024-11-25,Greed
2024-11-26,Fear
2024-11-27,Fear
2024-11-28,Greed
2024-11-29,Greed
2024-11-30,Greed
2024-12-01,Greed
2024-12-02,Fear
2024-12-03,Greed
2024-12-04,Greed
2024-12-05,Greed
2024-12-06,Greed
2024-12-07,Greed
2024-12-08,Greed
2024-12-09,Greed
2024-12-10,Greed
2024-12-11,Greed
2024-12-12,Fear
2024-12-13,Greed
2024-12-14,Fear
2024-12-15,Fear
2024-12-16,Fear
2024-12-17,Fear
2024-12-18,Fear
2024-12-19,Fear
2024-12-20,Greed
2024-12-21,Greed
2024-12-22,Greed
2024-12-23,Greed
2024-12-24,Fear
2024-12-25,Greed
2024-12-26,Fear
2024-12-27,Fear
2024-12-28,Fear
2024-12-29,Fear
2024-12-30,Fear
2024-12-31,Fear
